Land,Code,Label,Ausfuhr: Wert,Einfuhr: Wert
Algerien,WA02,Fleisch,3478000,0
Algerien,WA03,"Fische, Krebs- und Weichtiere",0,0
Algerien,WA04,"Milch, Milcherzeugnisse, Eier, Honig",410336000,76000
Algerien,WA05,Andere Waren tierischen Ursprungs,6418000,0
Algerien,WA06,"Pflanzen, Waren des Blumenhandels",9000,1000
Algerien,WA07,"Gemüse, Pflanzen für Ernährung",5017000,31000
Algerien,WA08,Genießbare Früchte und Nüsse,752000,50064000
Algerien,WA09,"Kaffee, Tee, Mate, Gewürze",4472000,2000
Algerien,WA10,Getreide,1679178000,1000
Algerien,WA11,"Müllereierzeugnisse, Malz usw.",19327000,1000
Algerien,WA12,"Ölsamen usw., Heilpflanzen usw.",4858000,238000
Algerien,WA13,"Schellack, Gummen, Harz, Pflanzensaft",27894000,20000
Algerien,WA14,Flechtstoffe usw. pflanzlichen Ursprungs,0,0
Algerien,WA15,"Tierische und pflanzliche Fette, Öle, Wachs",546048000,35000
Algerien,WA16,"Zubereitungen von Fleisch, Fisch usw.",198000,0
Algerien,WA17,Zucker und Zuckerwaren,39777000,6455000
Algerien,WA18,Kakao und Zubereitungen aus Kakao,148954000,40662000
Algerien,WA19,"Zubereitungen aus Getreide usw., Backwaren",85356000,138000
Algerien,WA20,"Zubereitungen von Gemüse, Früchten usw.",27348000,446000
Algerien,WA21,Verschiedene Lebensmittelzubereitungen,306593000,172000
Algerien,WA22,"Getränke, alkoholhaltige Flüssigkeiten, Essig",24886000,285000
Algerien,WA23,"Rückstände der Lebensmittelindustrie, Futter",43544000,0
Algerien,WA24,Tabak,210527000,25000
Algerien,WA25,"Salz, Schwefel, Steine, Erden usw.",29908000,11539000
Algerien,WA26,"Erze, Schlacken, Aschen",1399000,22890000
Algerien,WA27,Mineralische Brennstoffe usw.,105030000,22046362000
Algerien,WA28,Anorganische chemische Erzeugnisse,93842000,398319000
Algerien,WA29,Organische chemische Erzeugnisse,423447000,70000
Algerien,WA30,Pharmazeutische Erzeugnisse,2239578000,45000
Algerien,WA31,Düngemittel,88593000,82182000
Algerien,WA32,"Gerb- und Farbstoffe, Farben, Lacke usw.",211217000,4000
Algerien,WA33,"Etherische Öle, Riech-, Schönheitsmittel",243894000,112000
Algerien,WA34,"Seifen, Waschmittel usw.",148107000,8000
Algerien,WA35,"Eiweißstoffe, Klebstoffe, Enzyme",128827000,34000
Algerien,WA36,"Sprengstoffe, pyrotechnische Artikel usw.",5341000,0
Algerien,WA37,Photochemische Erzeugnisse,22189000,4000
Algerien,WA38,Verschiedene Erzeugnisse der Chemischen Industrie,709433000,519000
Algerien,WA39,Kunststoffe und Waren daraus,1099357000,5061000
Algerien,WA40,Kautschuk und Waren daraus,240612000,425000
Algerien,WA41,"Häute, Felle, Leder",2131000,0
Algerien,WA42,"Lederwaren, Sattlerwaren",5738000,0
Algerien,WA43,"Pelzfelle, künstliches Pelzwerk",1000,0
Algerien,WA44,"Holz, Holzwaren, Holzkohle",276456000,49000
Algerien,WA45,"Kork, Korkwaren",177000,0
Algerien,WA46,"Flechtwaren, Korbmacherwaren",6000,0
Algerien,WA47,"Halbstoffe aus Holz usw., Papierabfall",3651000,452000
Algerien,WA48,"Papier, Pappe und Waren daraus",642458000,329000
Algerien,WA49,"Bücher, Zeitungen, Bilddrucke usw.",9975000,139000
Algerien,WA50,Seide,0,14000
Algerien,WA51,"Wolle, feine und grobe Tierhaare",1185000,318000
Algerien,WA52,Baumwolle,464000,42000
Algerien,WA53,"Andere pflanzliche Spinnstoffe, Papiergarn",16000,0
Algerien,WA54,Synthetisches oder künstliches Filament,3606000,0
Algerien,WA55,Synthetische oder künstliche Spinnfaser,62285000,21000
Algerien,WA56,"Watte, Filz, Vliesstoff usw., Tauwerk",37442000,762000
Algerien,WA57,"Teppiche, Fußbodenbelag aus Spinnstoff",4791000,117000
Algerien,WA58,"Spezialgewebe, Spitzen, Tapisserien",3063000,0
Algerien,WA59,"Getränkte, bestrichene usw. Gewebe",14195000,0
Algerien,WA60,Gewirke und Gestricke,2241000,0
Algerien,WA61,"Bekleidung usw. aus Gewirken, Gestricken",7164000,38000
Algerien,WA62,"Andere Bekleidung, Bekleidungszubehör",11202000,26000
Algerien,WA63,"Andere Konfektion, Spinnstoffwaren usw.",28638000,18000
Algerien,WA64,"Schuhe, Gamaschen, ähnliche Waren",21792000,5000
Algerien,WA65,Kopfbedeckungen und Teile davon,2374000,0
Algerien,WA66,"Schirme, Gehstöcke usw., Peitschen",76000,0
Algerien,WA67,"Zugerichtete Federn, Daunen, künstliche Blumen",2000,0
Algerien,WA68,"Waren aus Steinen, Gips, Zement usw.",82837000,33000
Algerien,WA69,Keramische Waren,120201000,5000
Algerien,WA70,Glas und Glaswaren,53882000,202000
Algerien,WA71,"Perlen, Edelsteine, Edelmetalle",26446000,31350000
Algerien,WA72,Eisen und Stahl,905088000,180330000
Algerien,WA73,Waren aus Eisen oder Stahl,691756000,561000
Algerien,WA74,Kupfer und Waren daraus,311000000,15075000
Algerien,WA75,Nickel und Waren daraus,4598000,93000
Algerien,WA76,Aluminium und Waren daraus,69306000,439000
Algerien,WA78,Blei und Waren daraus,12924000,165000
Algerien,WA79,Zink und Waren daraus,4765000,32000
Algerien,WA80,Zinn und Waren daraus,535000,0
Algerien,WA81,"Andere unedle Metalle, Cermets usw.",3246000,7000
Algerien,WA82,"Werkzeuge, Schneidwaren, Essbestecke",56589000,102000
Algerien,WA83,Verschiedene Waren aus unedlen Metallen,33428000,1000
Algerien,WA84,"Maschinen, Apparate, mechanische Geräte",6898062000,12829000
Algerien,WA85,Elektrotechnische Erzeugnisse,1698751000,7196000
Algerien,WA86,Schienenfahrzeuge,15733000,39000
Algerien,WA87,"Kraftfahrzeuge, Landfahrzeuge",7908848000,1849000
Algerien,WA88,"Luftfahrzeuge, Raumfahrzeuge",352766000,72000
Algerien,WA89,Wasserfahrzeuge,3648000,20000
Algerien,WA90,"Optische, photografische usw. Erzeugnisse",1085117000,3329000
Algerien,WA91,Uhrmacherwaren,1168000,65000
Algerien,WA92,Musikinstrumente,443000,0
Algerien,WA93,Waffen und Munition,439000,0
Algerien,WA94,"Möbel, Beleuchtungskörper usw.",108581000,177000
Algerien,WA95,"Spielzeug, Spiele usw., Sportgeräte",6087000,4000
Algerien,WA96,Verschiedene Waren,42215000,6000
Algerien,WA97,"Kunstgegenstände, Sammlungsstücke",69000,34000
Algerien,WA98,Vollständige Fabrikationsanlagen,446342000,0
Algerien,WA99,Zusammenstellungen verschiedener Waren,3189799000,71424000
Amerikanisch-Ozeanien (bis 2000),WA01,Lebende Tiere,0,0
Amerikanisch-Ozeanien (bis 2000),WA02,Fleisch,0,0
Amerikanisch-Ozeanien (bis 2000),WA03,"Fische, Krebs- und Weichtiere",0,0
Amerikanisch-Ozeanien (bis 2000),WA04,"Milch, Milcherzeugnisse, Eier, Honig",0,0
Amerikanisch-Ozeanien (bis 2000),WA05,Andere Waren tierischen Ursprungs,0,0
Amerikanisch-Ozeanien (bis 2000),WA06,"Pflanzen, Waren des Blumenhandels",0,0
Amerikanisch-Ozeanien (bis 2000),WA07,"Gemüse, Pflanzen für Ernährung",0,0
Amerikanisch-Ozeanien (bis 2000),WA08,Genießbare Früchte und Nüsse,0,0
Amerikanisch-Ozeanien (bis 2000),WA09,"Kaffee, Tee, Mate, Gewürze",0,0
Amerikanisch-Ozeanien (bis 2000),WA10,Getreide,0,0
Amerikanisch-Ozeanien (bis 2000),WA11,"Müllereierzeugnisse, Malz usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA12,"Ölsamen usw., Heilpflanzen usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA13,"Schellack, Gummen, Harz, Pflanzensaft",0,0
Amerikanisch-Ozeanien (bis 2000),WA14,Flechtstoffe usw. pflanzlichen Ursprungs,0,0
Amerikanisch-Ozeanien (bis 2000),WA15,"Tierische und pflanzliche Fette, Öle, Wachs",0,0
Amerikanisch-Ozeanien (bis 2000),WA16,"Zubereitungen von Fleisch, Fisch usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA17,Zucker und Zuckerwaren,0,0
